credit agricole,urksocbank,ukrsibbank,sense bank,vtb bank,Procredit bank,pumb,raifizen bank aval,Prominvestbank,otp bank,praveks bank,oschad bank,ukreximbank,Ukrgazbank,Vseukrainsky bank for development,Sberbank,Kredo bank,VAB bank,National investments,Industrialbank,Mega bank,Delta bank,brolbuisnesbank,UKRBuisness bank,Active bank ,Fidobank,UPB,Nadra,BTA bank,Forum Bank ,Imbeks bank,Privatbank,Platinum bank,Idea bank,Diamond bank,Universal Bank,finance initiative,Kyivskaya rus ,Taskombank,Pivdenny,finance and credit,Abank,Chreschatyk,Terra bank,Pivdencombank,Ukrinbank,forward bank,Zlatobank,Akta bank,Gorodskoy commerce bank,Eurogasbank,Buisness bank,Express bank,Demark,Bank credit Dnepr,MTB bank 
с 1993-02-10,с 1991-09-27,с 1991-10-28,с 1993-03-24,с 1992-11-11,с 2000-12-28,с 1991-12-23,с 1992-03-27,с 1992-08-26,с 1998-03-02,с 1992-12-29,с 1991-12-31,с 1992-01-23,с 1993-07-21,с 2009-04-30,с 2001-06-15,с 1992-03-31,с 1992-07-02,с 1993-11-05,с 1991-10-16,с 1991-10-28,с 2006-02-14,с 1991-10-07,с 1993-05-18,с 2002-08-06,с 1991-10-02,с 1992-01-30,с 1993-10-26,с 1992-12-10,с 1994-01-31,с 1994-03-29,с 1992-03-19,с 2005-01-13,с 1991-10-22,с 1993-11-17,с 1994-01-20,с 2005-01-19,с 1996-05-30,с 1991-10-21,с 1993-12-03,с 1991-10-30,с 1992-10-30,с 1993-05-19,с 1996-10-18,с 1991-10-03,с 1991-10-02,с 2006-02-28,с 2008-05-16,с 2008-04-23,с 2006-05-05,с 2007-12-27,с 2005-08-09,с 1994-04-12,с 1992-07-10,с 1993-07-07,с 1993-11-05
5,5,5,5,5,4,5,5,5,4,5,5,5,5,2,4,5,5,5,5,5,3,5,5,4,5,5,5,5,5,5,5,3,5,5,4,3,4,3,5,5,5,5,4,5,5,3,2,2,3,3,3,5,5,5,5
0,0,0,тд,0,0,тд,0,ва,0,0,0,0,нв/рк/ва,0,0,0,0,0,0,0,0,0,0,0,0,0,нв/тд,0,0,нв,0,0,0,0,0,0,0,0,0,тд,0,0,0,ва,0,0,0,0,0,0,0,0,0,0,0
5,5,5,3,5,5,3,5,4,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,2,5,5,5,5,5,5,5,5,5,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
4.2,3.4,3.6,3.9,3.5,3.8,3.6,3.9,3.1,3.9,3.3,3.8,3.8,3.6,4,3.8,3,3.5,2.9,3.9,3.2,3.7,3.4,3.5,3.3,3.8,3.5,3.1,3.8,2.2,2.9,3.8,2.8,3,3.1,3.3,3,3.3,3.6,3.4,2.9,3,2.9,3.8,3.5,2.7,3.1,2.8,3.5,3.4,2.8,3,2.9,2.4,2.6,3.1
3.4,3.8,3.6,3.2,3.4,3.4,3.4,3.6,3.8,3.2,3.2,4.6,4.6,3.6,2.6,4.8,3.6,5,4,3.4,3.6,4.6,3.2,4,4,4,3.8,4.2,3.4,4.4,4.2,4.8,4.2,3,3.8,3.6,4.4,4,3.2,4.4,4.4,4.2,3.2,3.8,3.6,3.8,2.8,3.6,2.8,3.8,3.8,2.6,2.6,3,3.2,3.4
 млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн
 млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл
% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн
% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл
