credit agricole,oschad bank,ukrsibbank,raifizen bank aval,Kredo bank,ukreximbank,sense bank,Ukrgazbank,otp bank,Idea bank,Procredit bank,Privatbank,pumb,vtb bank,praveks bank,Pivdenny,urksocbank,Bank credit Dnepr,Sberbank,Akvant bank,Mega bank,National investments,UPB,Chreschatyk,Prominvestbank,finance and credit,Taskombank,Abank,Fidobank,Urk Buisness Bank,Diamond bank,Buisness bank,Industrialbank,Universal Bank,forward bank,Kyivskaya rus ,Imbeks bank,Ukrinbank,Platinum bank,Bank National credit,Delta bank,Nadra,Vseukr bank of development,Vseukrainsky bank for development,Zlatobank,UKRBuisness bank,finance initiative
3,5,1,1,3,5,1,3,5,3,4,1,1,1,3,2,4,3,1,4,3,4,3,3,1,5,4,4,5,5,3,4,3,1,2,2,4,3,2,2,1,2,3,3,3,2,2
-0.48%,1.7%,-4.77%,-7.28%,-1.91%,2.4%,-5.53%,-0.88%,4.47%,-4.16%,4%,-2.01%,-4.51%,-18.56%,-4.52%,-6.99%,0.61%,-2.89%,-16.83%,7.56%,-3.77%,2.73%,-3.91%,-0.83%,-7.46%,3.4%,0.83%,1.6%,6.25%,15.56%,-2.69%,3.36%,-2.53%,-22.87%,-13.17%,-6.87%,1.85%,-2.07%,-2.39%,-10.16%,-4.61%,-4.15%,-2.27%,-2.05%,-3.07%,-9.04%,-4.14%
3,4,2,2,3,4,2,3,5,2,5,3,2,1,2,2,4,3,1,5,2,4,2,3,2,4,4,4,5,5,3,4,3,1,1,2,4,3,3,1,2,2,3,3,2,1,2
с 1993-02-10,с 1991-12-31,с 1991-10-28,с 1992-03-27,с 1992-03-31,с 1992-01-23,с 1993-03-24,с 1993-07-21,с 1998-03-02,с 1991-10-22,с 2000-12-28,с 1992-03-19,с 1991-12-23,с 1992-11-11,с 1992-12-29,с 1993-12-03,с 1991-09-27,с 1993-07-07,с 2001-06-15,с 2009-03-05,с 1991-10-28,с 1993-11-05,с 1992-01-30,с 1993-05-19,с 1992-08-26,с 1991-10-30,с 1991-10-21,с 1992-10-30,с 1991-10-02,с 2002-10-17,с 1993-11-17,с 2005-08-09,с 1991-10-16,с 1994-01-20,с 2006-02-28,с 1996-05-30,с 1994-03-29,с 1991-10-02,с 2005-01-13,с 1996-01-01,с 2006-02-14,с 1993-10-26,с 2002-10-17,с 2009-04-30,с 2008-05-16,с 1993-05-18,с 2005-01-19
5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,4,2,5,5,5,5,5,5,3,5,5,4,5,3,5,4,3,4,5,5,3,4,3,5,4,2,2,5,3
0,0,0,0,0,0,тд-,нв-/рк-/ва-,0,0,0,0,тд-,0,0,0,0,0,0,0,0,0,0,0,ва-,нв,0,0,0,0,0,0,0,0,0,0,нв-,0,0,ва-,0,нв-,нв,0,0,0,нв
5,5,5,5,5,5,4,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,1,5,5,5,5,5,5,5,5,5,5,2,5,5,4,5,2,1,5,5,5,1
4.2,4.1,3.6,3.2,4,3.1,4.1,3.4,3,3.3,3.3,3.9,3.6,4.2,2.6,3.8,2.9,3.3,3.9,2.8,2.7,2.4,2.6,3,3.6,3.3,2.8,2.8,3.3,2.8,2.5,2.7,3,3,3.1,2.7,3.3,2.8,2.3,2.7,3.7,3.1,3.7,3.1,3,3,3.3
4,4.8,3.6,3.6,3.6,4.8,3.4,3.4,4.6,3.4,4,3.8,3.4,3,3.4,3.4,4.6,3.8,3.2,3.4,3.4,4,3.4,3.8,3.2,4,3.6,4,4.6,4.2,3.6,3.4,3.4,2.6,2.4,3.2,3.8,3.8,3.4,2.4,3.2,3,2.4,3,3,2.8,2.4
 млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн
 млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл
% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн
% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл
