ukreximbank,oschad bank,Sberbank,ukrsibbank,credit agricole,Prominvestbank,urksocbank,Kredo bank,Ukrgazbank,sense bank,pumb,raifizen bank aval,Idea bank,Mega bank,vtb bank,Procredit bank,BTA bank,Zlatobank,VAB bank,UPB,MTB bank ,Privatbank,Universal Bank,otp bank,Bank credit Dnepr,praveks bank,Chreschatyk,Industrialbank,Nadra,Ukrinbank,Pivdenny,Delta bank,Gorodskoy commerce bank,Pivdencombank,Imbeks bank,Finbank,Platinum bank,National investments,Akta bank,forward bank,Terra bank,Bank National credit,Kyivskaya rus ,Demark,Fidobank,finance and credit,Diamond bank,Abank,Vseukrainsky bank for development,Eurogasbank,Active bank ,finance initiative,Taskombank,UKRBuisness bank
610.73 млн грн,-183.24 млн грн,621.88 млн грн,-824.38 млн грн,-20.82 млн грн,90.98 млн грн,-203.99 млн грн,-96.83 млн грн,179.09 млн грн,226.23 млн грн,-353.76 млн грн,-1019.93 млн грн,45.56 млн грн,30.11 млн грн,-267.07 млн грн,-5.25 млн грн,2.02 млн грн,401.1 млн грн,1182.15 млн грн,76.17 млн грн,-20.93 млн грн,5707.59 млн грн,-61.83 млн грн,-122.93 млн грн,-284.96 млн грн,-228.03 млн грн,126.68 млн грн,-103.05 млн грн,1034.69 млн грн,150.75 млн грн,-127.17 млн грн,2349.05 млн грн,212.77 млн грн,84.36 млн грн,371.42 млн грн,97.36 млн грн,745.17 млн грн,38.04 млн грн,530.1 млн грн,-44.66 млн грн,98.9 млн грн,132.81 млн грн,249.83 млн грн,31.71 млн грн,946.08 млн грн,1576.93 млн грн,99.06 млн грн,145.41 млн грн,226.89 млн грн,26.77 млн грн,58.03 млн грн,711.15 млн грн,-1.39 млн грн,-4.97 млн грн
5,1,5,1,2,3,1,2,4,4,1,1,3,3,1,2,3,5,5,3,2,5,2,2,1,1,4,2,5,4,2,5,4,3,4,3,5,3,5,2,3,4,4,3,5,5,3,4,4,3,3,5,2,2
3.67%,-0.51%,4.66%,-8.25%,-0.54%,1.14%,-1.68%,-4.96%,3.24%,2.5%,-3.07%,-6.52%,3.27%,1.64%,-3.64%,-0.39%,0.16%,15.89%,12.76%,5.57%,-1.79%,5.65%,-2.29%,-2.22%,-8.08%,-9.64%,3.75%,-8.65%,18.8%,5.91%,-2.91%,9.88%,11.11%,3.42%,8.32%,9.97%,21.87%,2.83%,23.45%,-2.51%,5.46%,14.13%,6.64%,3.16%,92.7%,15.23%,6.39%,9.73%,17.01%,1.7%,3.79%,18.35%,-0.12%,-0.25%
3,2,4,2,2,3,2,2,3,3,2,2,3,3,2,2,3,5,5,4,2,4,2,2,2,2,3,2,5,4,2,4,5,3,4,4,5,3,5,2,4,5,4,3,5,5,4,4,5,3,3,5,2,2
с 1992-01-23,с 1991-12-31,с 2001-06-15,с 1991-10-28,с 1993-02-10,с 1992-08-26,с 1991-09-27,с 1992-03-31,с 1993-07-21,с 1993-03-24,с 1991-12-23,с 1992-03-27,с 1991-10-22,с 1991-10-28,с 1992-11-11,с 2000-12-28,с 1992-12-10,с 2008-05-16,с 1992-07-02,с 1992-01-30,с 1993-11-05,с 1992-03-19,с 1994-01-20,с 1998-03-02,с 1993-07-07,с 1992-12-29,с 1993-05-19,с 1991-10-16,с 1993-10-26,с 1991-10-02,с 1993-12-03,с 2006-02-14,с 2006-05-05,с 1991-10-03,с 1994-03-29,с 1993-12-24,с 2005-01-13,с 1993-11-05,с 2008-04-23,с 2006-02-28,с 1996-10-18,с 1996-01-01,с 1996-05-30,с 1992-07-10,с 1991-10-02,с 1991-10-30,с 1993-11-17,с 1992-10-30,с 2009-04-30,с 2007-12-27,с 2002-08-06,с 2005-01-19,с 1991-10-21,с 1993-05-18
5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,5,5,5,5,4,4,5,5,5,5,5,5,5,3,3,5,5,5,3,5,2,3,4,4,4,5,5,5,5,5,2,3,4,3,3,5
0,0,0,0,0,ва,0,0,нв/рк/ва,тд,тд,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,нв/тд,0,0,0,0,ва,нв,0,0,0,0,0,0,ва,0,0,0,тд,0,0,0,0,0,0,0,0
5,5,5,5,5,4,5,5,2,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,4,2,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5
3.8,3.9,3.6,3.5,3.6,3.6,3.7,3.5,3.6,4.4,3.6,3.9,3.2,2.5,3.2,3.5,3.8,3.2,3.3,3.2,3.2,4,2.9,3.9,2.7,2.8,3.4,3.8,3.1,2.3,3.5,3.9,3.2,2.7,3.2,2.6,3.1,2.6,2.8,3.3,3.2,2.5,2.5,2.6,3.6,3.3,2.7,3.2,3.3,2.3,2.7,3,2.8,2.9
4.6,3.6,4.6,3.6,3.4,3.8,3.6,3.2,3.6,4,3.2,3.6,3.6,3.6,3.4,3,3.4,4,5,3.8,3,4.8,3.2,3.4,3.2,3,4,3,4.2,4.2,3.6,4.4,3.8,3.6,3.8,3.6,4.4,3.6,4,2.8,3.6,3.6,4.2,3.4,4.4,4.6,3.8,4,3.6,3.2,3.4,4.4,2.6,3.2
 млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн, млн грн
 млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл, млн долл
% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн,% грн
% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл,% долл
