ukrsibbank,raifizen bank aval,credit agricole,Procredit bank,oschad bank,ukreximbank,Kredo bank,sense bank,Ukrgazbank,Sberbank,urksocbank,International investment bank,vtb bank,pumb,Prominvestbank,Idea bank,Mega bank,Chreschatyk,praveks bank,otp bank,Universal Bank,Privatbank,Bank credit Dnepr,Urk Buisness Bank,MTB bank ,Diamond bank,National investments,UPB,Pivdenny,Abank,Taskombank,Fidobank,Buisness bank,Ukrinbank,Industrialbank,Akvant bank,Misto bank,Bank National credit,Fortuna bank,Kapital,finance initiative,Platinum bank,finance and credit
с 1991-10-28,с 1992-03-27,с 1993-02-10,с 2000-12-28,с 1991-12-31,с 1992-01-23,с 1992-03-31,с 1993-03-24,с 1993-07-21,с 2001-06-15,с 1991-09-27,с 2008-03-11,с 1992-11-11,с 1991-12-23,с 1992-08-26,с 1991-10-22,с 1991-10-28,с 1993-05-19,с 1992-12-29,с 1998-03-02,с 1994-01-20,с 1992-03-19,с 1993-07-07,с 2002-10-17,с 1993-11-05,с 1993-11-17,с 1993-11-05,с 1992-01-30,с 1993-12-03,с 1992-10-30,с 1991-10-21,с 1991-10-02,с 2005-08-09,с 1991-10-02,с 1991-10-16,с 2009-03-05,с 1993-07-23,с 1996-01-01,с 2002-10-17,с 1991-06-01,с 2005-01-19,с 2005-01-13,с 1991-10-30
5,5,5,4,5,5,5,5,5,4,5,2,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,3,5,5,2,5,4,4,5,3,3,5
0,0,0,0,0,тд,0,тд-,нв-/рк-/ва-,0,0,0,0,тд-,ва-,0,0,0,0,0,0,0,0,0,0,0,0,нв,0,0,0,0,0,0,0,0,0,ва-,нв,нв,нв,0,нв
5,5,5,5,5,3,5,4,2,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,4,1,1,1,5,1
3.6,3.7,4.4,3.7,3.9,3.2,3.7,2.9,2.7,2.5,3.7,2.6,2.8,2.9,3.2,2.3,3.2,2.5,3.4,2.7,2.8,2.7,1.7,3,2.7,3,2.1,2.9,3,2.4,2.5,3,2.5,2.3,2.4,2.5,2.1,1.9,2.1,1.8,2.9,2.1,2
4.1,4,3.8,3.8,4,3.3,3.8,3.7,3.4,3.7,3.5,3,3.7,3.5,3.6,3.4,3.5,3.7,3.3,3.4,3.2,3.7,3.2,2.9,3.1,3.2,3,2.6,3.4,3.4,3.2,3.2,3.1,3.7,3.1,3,3.2,2.9,2.4,2.4,2.6,3.3,2.9
-82.9 млн грн,-368.79 млн грн,-169.12 млн грн,1.2 млн грн,-104.67 млн грн,-717.21 млн грн,-59.83 млн грн,-242.97 млн грн,54.76 млн грн,-44.77 млн грн,-765.26 млн грн,-193.08 млн грн,-90.2 млн грн,-305.42 млн грн,-219.55 млн грн,-50.89 млн грн,-68.78 млн грн,-157.42 млн грн,-175.05 млн грн,-675.61 млн грн,-98.01 млн грн,-2309.47 млн грн,-203.66 млн грн,-52.49 млн грн,-42.49 млн грн,-129.32 млн грн,-109.23 млн грн,-81.38 млн грн,-126.7 млн грн,-22.64 млн грн,-25.89 млн грн,-188.11 млн грн,-111.29 млн грн,-94.23 млн грн,-48.83 млн грн,-2.59 млн грн,-15.93 млн грн,-100.43 млн грн,-12.35 млн грн,-63.06 млн грн,-167.14 млн грн,-253.88 млн грн,-621.2 млн грн
-29.39 млн долл,-42.04 млн долл,-4.03 млн долл,-6.75 млн долл,-38.62 млн долл,-87.61 млн долл,-5.61 млн долл,-41.54 млн долл,-31.82 млн долл,-89.32 млн долл,-53.56 млн долл,5.47 млн долл,-24.32 млн долл,-65.72 млн долл,-35.64 млн долл,-5.75 млн долл,-4.8 млн долл,-16.49 млн долл,-16.03 млн долл,-39.17 млн долл,-14.64 млн долл,-499.01 млн долл,-28.88 млн долл,-23.51 млн долл,-6.97 млн долл,-6.56 млн долл,-24.07 млн долл,-2.98 млн долл,-32.15 млн долл,-9.38 млн долл,-26.32 млн долл,-25.16 млн долл,0.25 млн долл,-8.8 млн долл,-5.05 млн долл,-3.73 млн долл,-5.7 млн долл,-0.61 млн долл,-1.63 млн долл,-3.28 млн долл,-8.91 млн долл,-13.87 млн долл,-21.2 млн долл
-2.12% грн,-4.53% грн,-8.1% грн,0.12% грн,-0.4% грн,-9% грн,-4.91% грн,-5.59% грн,1.84% грн,-2.87% грн,-13.51% грн,-49.66% грн,-5.82% грн,-6.62% грн,-6.02% грн,-4.16% грн,-8.09% грн,-6.68% грн,-16.81% грн,-22.71% грн,-14.17% грн,-4.52% грн,-15.51% грн,-16% грн,-13.47% грн,-15.37% грн,-18.41% грн,-10.78% грн,-10.24% грн,-2.57% грн,-8.46% грн,-18.04% грн,-37.88% грн,-6.62% грн,-10.39% грн,-0.58% грн,-9.25% грн,-20.24% грн,-10.24% грн,-16.91% грн,-6.82% грн,-7.82% грн,-10.1% грн
-9.16% долл,-10.93% долл,-2.73% долл,-9.93% долл,-5.82% долл,-9.94% долл,-11.65% долл,-10.62% долл,-12.9% долл,-15.5% долл,-12.72% долл,10.38% долл,-16.25% долл,-13.34% долл,-14.12% долл,-18.64% долл,-10.65% долл,-16.65% долл,-23.63% долл,-13.01% долл,-17.54% долл,-13.91% долл,-19.51% долл,-26.16% долл,-16.69% долл,-12.19% долл,-30.86% долл,-6.39% долл,-17.2% долл,-17.37% долл,-38.85% долл,-30.34% долл,0.41% долл,-8.12% долл,-13.05% долл,-6.96% долл,-12.92% долл,-1.71% долл,-2.63% долл,-8.71% долл,-6.75% долл,-12.97% долл,-3.67% долл
