raifizen bank aval ,ukreximbank    ,oschad bank     ,ukrsibbank     ,credit agricole ,vtb bank       ,urksocbank     ,pumb           ,sense bank      ,otp bank       ,Sberbank        ,finance and credit ,VAB bank       ,UPB           ,Procredit bank ,Prominvestbank ,Chreschatyk   ,Vseukrainsky bank for development ,brolbuisnesbank ,Privatbank      ,praveks bank   ,finance initiative ,BTA bank      ,UKRBuisness bank ,Mega bank      ,Nadra          ,Pivdencombank ,Kredo bank    ,Bank credit Dnepr ,Pivdenny       ,Terra bank     ,Imbeks bank    ,Express bank ,National investments ,Delta bank      ,Kyivskaya rus  ,Forum Bank     ,Abank          ,forward bank   ,Universal Bank ,Akta bank      ,Gorodskoy commerce bank ,Ukrinbank      ,Eurogasbank   ,Industrialbank ,MTB bank       ,Active bank    ,Zlatobank      ,Ukrgazbank      ,Taskombank    ,Platinum bank  ,Diamond bank   ,Buisness bank  ,Idea bank      ,FideComBank    ,Demark
                   ,               ,                ,               ,                ,               ,               ,               ,                ,               ,                ,                   ,               ,              ,               ,               ,              ,                                  ,                ,                ,               ,                   ,              ,                 ,               ,               ,              ,              ,                  ,               ,               ,               ,             ,                     ,                ,               ,               ,               ,               ,               ,               ,                        ,               ,              ,               ,               ,               ,               ,                ,              ,               ,               ,               ,               ,               ,
4.7                ,4.9            ,4.9             ,4.1            ,3.7             ,4.3            ,4.6            ,4.4            ,4.3             ,3.9            ,4.5             ,4.1                ,3.8            ,2             ,1.2            ,4.6            ,3.3           ,2.5                               ,3.8             ,5               ,2.9            ,3.5                ,3             ,2.5              ,2.6            ,4.2            ,2.7           ,2.2           ,3.2               ,3.6            ,2.4            ,3.4            ,1.4          ,1.5                  ,4.8             ,3.1            ,3.5            ,1              ,1.7            ,3.3            ,2.2            ,2.1                     ,2.7            ,1.8           ,1.9            ,1.7            ,1.6            ,2.8            ,4               ,1.4           ,2.3            ,1.9            ,1.3            ,1.1            ,3              ,1.1
0                  ,0              ,0               ,0              ,0               ,0              ,0              ,0              ,0               ,0              ,0               ,0                  ,0              ,0             ,0              ,0              ,0             ,0                                 ,0               ,0               ,0              ,0                  ,0             ,0                ,0              ,0              ,0             ,0             ,0                 ,0              ,0              ,0              ,0            ,0                    ,0               ,0              ,0              ,0              ,0              ,0              ,0              ,0                       ,0              ,0             ,0              ,0              ,0              ,0              ,0               ,0             ,0              ,0              ,0              ,0              ,0              ,0
0                  ,0              ,0               ,0              ,0               ,0              ,0              ,0              ,0               ,0              ,0               ,0                  ,0              ,0             ,0              ,0              ,0             ,0                                 ,0               ,0               ,0              ,0                  ,0             ,0                ,0              ,0              ,0             ,0             ,0                 ,0              ,0              ,0              ,0            ,0                    ,0               ,0              ,0              ,0              ,0              ,0              ,0              ,0                       ,0              ,0             ,0              ,0              ,0              ,0              ,0               ,0             ,0              ,0              ,0              ,0              ,0              ,0
4.04%              ,3.91%          ,8.42%           ,2.56%          ,0.97%           ,1.8%           ,2.95%          ,2.79%          ,2.3%            ,1.37%          ,2.91%           ,2.33%              ,1.95%          ,0.31%         ,0.32%          ,1.92%          ,0.85%         ,0.32%                             ,1.84%           ,22.99%          ,0.61%          ,0.76%              ,0.3%          ,0.45%            ,0.43%          ,1.09%          ,0.58%         ,0.46%         ,0.93%             ,1.01%          ,0.4%           ,0.97%          ,0.29%        ,0.3%                 ,5.16%           ,0.87%          ,1.14%          ,0.3%           ,0.43%          ,0.63%          ,0.55%          ,0.4%                    ,0.59%          ,0.34%         ,0.29%          ,0.28%          ,0.33%          ,0.56%          ,1.31%           ,0.27%         ,0.7%           ,0.36%          ,0.24%          ,0.36%          ,0.32%          ,0.25%
5                  ,5              ,5               ,5              ,3               ,4              ,5              ,5              ,5               ,4              ,5               ,5                  ,4              ,2             ,2              ,4              ,3             ,2                                 ,4               ,5               ,3              ,3                  ,1             ,2                ,2              ,4              ,3             ,2             ,3                 ,4              ,2              ,3              ,1            ,1                    ,5               ,3              ,4              ,2              ,2              ,3              ,3              ,2                       ,3              ,2             ,1              ,1              ,2              ,3              ,4               ,1             ,3              ,2              ,1              ,2              ,2              ,1
369.36 млн грн     ,190.47 млн грн ,2339.23 млн грн ,-79.07 млн грн ,88.24 млн грн   ,487.58 млн грн ,-97.22 млн грн ,720.06 млн грн ,-222.43 млн грн ,-13.02 млн грн ,1234.99 млн грн ,537.32 млн грн     ,1047.5 млн грн ,53.62 млн грн ,107.62 млн грн ,84.17 млн грн  ,49.42 млн грн ,107.47 млн грн                    ,-165.38 млн грн ,8040.96 млн грн ,-95.27 млн грн ,668.13 млн грн     ,45.26 млн грн ,42.62 млн грн    ,134.12 млн грн ,787.57 млн грн ,200.8 млн грн ,-8.67 млн грн ,-198.82 млн грн   ,139.21 млн грн ,215.73 млн грн ,343.91 млн грн ,2.24 млн грн ,100.96 млн грн       ,5306.65 млн грн ,369.66 млн грн ,264.58 млн грн ,243.66 млн грн ,342.61 млн грн ,-73.89 млн грн ,462.38 млн грн ,160.77 млн грн          ,160.65 млн грн ,89.01 млн грн ,13.18 млн грн  ,-112.3 млн грн ,160.23 млн грн ,197.23 млн грн ,-202.09 млн грн ,74.33 млн грн ,584.01 млн грн ,-88.86 млн грн ,-19.27 млн грн ,-33.22 млн грн ,-142.7 млн грн ,60.81 млн грн
4                  ,4              ,5               ,2              ,3               ,5              ,2              ,5              ,1               ,2              ,5               ,5                  ,5              ,3             ,3              ,3              ,3             ,3                                 ,1               ,5               ,2              ,5                  ,3             ,3                ,3              ,5              ,4             ,2             ,1                 ,3              ,4              ,4              ,3            ,3                    ,5               ,4              ,4              ,4              ,4              ,2              ,5              ,4                       ,4              ,3             ,3              ,1              ,4              ,4              ,1               ,3             ,5              ,2              ,2              ,2              ,1              ,3
2.25%              ,1.19%          ,7.18%           ,-0.74%         ,2.25%           ,6.97%          ,-0.79%         ,6.64%          ,-2.28%          ,-0.23%         ,11.41%          ,5.88%              ,14.86%         ,4.4%          ,8.8%           ,1.07%          ,1.43%         ,8.73%                             ,-2.12%          ,9.21%           ,-3.64%         ,27.09%             ,3.83%         ,2.35%            ,8.16%          ,21.1%          ,9.09%         ,-0.45%        ,-4.91%            ,3.45%          ,15.06%         ,9.38%          ,0.19%        ,8.89%                ,32.94%          ,11.45%         ,5.93%          ,24.14%         ,23.66%         ,-2.75%         ,25.42%         ,10.63%                  ,6.98%          ,6.76%         ,1.12%          ,-8.83%         ,13.41%         ,9.28%          ,-3.59%          ,7.12%         ,25.14%         ,-5.63%         ,-1.87%         ,-2.16%         ,-9.71%         ,6.27%
3                  ,3              ,4               ,2              ,3               ,3              ,2              ,3              ,2               ,2              ,5               ,3                  ,5              ,3             ,4              ,3              ,3             ,4                                 ,2               ,4               ,2              ,5                  ,3             ,3                ,4              ,5              ,4             ,2             ,2                 ,3              ,5              ,4              ,3            ,4                    ,5               ,5              ,3              ,5              ,5              ,2              ,5              ,5                       ,3              ,3             ,3              ,2              ,5              ,4              ,2               ,4             ,5              ,2              ,2              ,2              ,2              ,3
с 1992-03-27       ,с 1992-01-23   ,с 1991-12-31    ,с 1991-10-28   ,с 1993-02-10    ,с 1992-11-11   ,с 1991-09-27   ,с 1991-12-23   ,с 1993-03-24    ,с 1998-03-02   ,с 2001-06-15    ,с 1991-10-30       ,с 1992-07-02   ,с 1992-01-30  ,с 2000-12-28   ,с 1992-08-26   ,с 1993-05-19  ,с 2009-04-30                      ,с 1991-10-07    ,с 1992-03-19    ,с 1992-12-29   ,с 2005-01-19       ,с 1992-12-10  ,с 1993-05-18     ,с 1991-10-28   ,с 1993-10-26   ,с 1991-10-03  ,с 1992-03-31  ,с 1993-07-07      ,с 1993-12-03   ,с 1996-10-18   ,с 1994-03-29   ,с 1994-04-12 ,с 1993-11-05         ,с 2006-02-14    ,с 1996-05-30   ,с 1994-01-31   ,с 1992-10-30   ,с 2006-02-28   ,с 2001-11-19   ,с 2008-04-23   ,с 2006-05-05            ,с 1991-10-02   ,с 2007-12-27  ,с 1991-10-16   ,с 1993-11-05   ,с 2002-08-06   ,с 2008-05-16   ,с 1993-07-21    ,с 2005-09-20  ,с 2005-01-13   ,с 1993-11-17   ,с 2005-08-09   ,с 1991-10-22   ,с 2006-01-25   ,с 1992-07-10
5                  ,5              ,5               ,5              ,5               ,5              ,5              ,5              ,5               ,4              ,4               ,5                  ,5              ,5             ,4              ,5              ,5             ,2                                 ,5               ,5               ,5              ,3                  ,5             ,5                ,5              ,5              ,5             ,5             ,5                 ,5              ,4              ,5              ,5            ,5                    ,3               ,4              ,5              ,5              ,3              ,4              ,2              ,3                       ,5              ,3             ,5              ,5              ,4              ,2              ,5               ,3             ,3              ,5              ,3              ,5              ,3              ,5
0                  ,0              ,0               ,0              ,0               ,0              ,0              ,тд             ,тд              ,0              ,0               ,тд                 ,0              ,0             ,0              ,ва             ,0             ,0                                 ,0               ,0               ,0              ,0                  ,0             ,0                ,0              ,нв/тд          ,ва            ,0             ,0                 ,0              ,0              ,нв             ,0            ,0                    ,0               ,0              ,0              ,0              ,0              ,0              ,0              ,0                       ,0              ,0             ,0              ,0              ,0              ,0              ,нв/рк/ва        ,0             ,0              ,0              ,0              ,0              ,0              ,0
5                  ,5              ,5               ,5              ,5               ,5              ,5              ,3              ,3               ,5              ,5               ,3                  ,5              ,5             ,5              ,4              ,5             ,5                                 ,5               ,5               ,5              ,5                  ,5             ,5                ,5              ,2              ,4             ,5             ,5                 ,5              ,5              ,2              ,5            ,5                    ,5               ,5              ,5              ,5              ,5              ,5              ,5              ,5                       ,5              ,5             ,5              ,5              ,5              ,5              ,2               ,5             ,5              ,5              ,5              ,5              ,5              ,5
3.7                ,3.6            ,3.6             ,3.7            ,4.4             ,3.5            ,3.4            ,3.6            ,3.9             ,3.4            ,3.8             ,2.9                ,3.5            ,4             ,3.8            ,3.1            ,3             ,3.6                               ,3.4             ,4               ,3.3            ,3                  ,3.7           ,3.5              ,3.2            ,2.8            ,3.6           ,3             ,2.9               ,3.4            ,4              ,3.1            ,3.1          ,2.9                  ,3.8             ,3.5            ,2.2            ,2.8            ,3.2            ,3.8            ,3.6            ,3.8                     ,2.9            ,3             ,3.4            ,3.3            ,3.3            ,3              ,3.7             ,3.3           ,2.8            ,3              ,3.1            ,3.1            ,2.7            ,2.3
4.4                ,4.4            ,4.8             ,3.8            ,3.8             ,4.4            ,3.8            ,4.2            ,3.2             ,3.4            ,4.8             ,4.2                ,4.8            ,3.6           ,3.6            ,3.8            ,3.8           ,3.2                               ,3.4             ,4.8             ,3.4            ,4.2                ,3.4           ,3.6              ,3.8            ,4.2            ,4             ,3.2           ,3.2               ,4              ,4              ,3.6            ,3.4          ,3.6                  ,4.6             ,4.2            ,4.2            ,4.2            ,3.8            ,3.2            ,4              ,3.8                     ,4              ,3.2           ,3.4            ,2.8            ,4              ,3.6            ,2.8             ,3.2           ,4.2            ,3.2            ,2.6            ,3.2            ,2.6            ,3.4
млн грн            ,млн грн        ,млн грн         ,млн грн        ,млн грн         ,млн грн        ,млн грн        ,млн грн        ,млн грн         ,млн грн        ,млн грн         ,млн грн            ,млн грн        ,млн грн       ,млн грн        ,млн грн        ,млн грн       ,млн грн                           ,млн грн         ,млн грн         ,млн грн        ,млн грн            ,млн грн       ,млн грн          ,млн грн        ,млн грн        ,млн грн       ,млн грн       ,млн грн           ,млн грн        ,млн грн        ,млн грн        ,млн грн      ,млн грн              ,млн грн         ,млн грн        ,млн грн        ,млн грн        ,млн грн        ,млн грн        ,млн грн        ,млн грн                 ,млн грн        ,млн грн       ,млн грн        ,млн грн        ,млн грн        ,млн грн        ,млн грн         ,млн грн       ,млн грн        ,млн грн        ,млн грн        ,млн грн        ,млн грн        ,млн грн
млн долл           ,млн долл       ,млн долл        ,млн долл       ,млн долл        ,млн долл       ,млн долл       ,млн долл       ,млн долл        ,млн долл       ,млн долл        ,млн долл           ,млн долл       ,млн долл      ,млн долл       ,млн долл       ,млн долл      ,млн долл                          ,млн долл        ,млн долл        ,млн долл       ,млн долл           ,млн долл      ,млн долл         ,млн долл       ,млн долл       ,млн долл      ,млн долл      ,млн долл          ,млн долл       ,млн долл       ,млн долл       ,млн долл     ,млн долл             ,млн долл        ,млн долл       ,млн долл       ,млн долл       ,млн долл       ,млн долл       ,млн долл       ,млн долл                ,млн долл       ,млн долл      ,млн долл       ,млн долл       ,млн долл       ,млн долл       ,млн долл        ,млн долл      ,млн долл       ,млн долл       ,млн долл       ,млн долл       ,млн долл       ,млн долл
% грн              ,% грн          ,% грн           ,% грн          ,% грн           ,% грн          ,% грн          ,% грн          ,% грн           ,% грн          ,% грн           ,% грн              ,% грн          ,% грн         ,% грн          ,% грн          ,% грн         ,% грн                             ,% грн           ,% грн           ,% грн          ,% грн              ,% грн         ,% грн            ,% грн          ,% грн          ,% грн         ,% грн         ,% грн             ,% грн          ,% грн          ,% грн          ,% грн        ,% грн                ,% грн           ,% грн          ,% грн          ,% грн          ,% грн          ,% грн          ,% грн          ,% грн                   ,% грн          ,% грн         ,% грн          ,% грн          ,% грн          ,% грн          ,% грн           ,% грн         ,% грн          ,% грн          ,% грн          ,% грн          ,% грн          ,% грн
% долл             ,% долл         ,% долл          ,% долл         ,% долл          ,% долл         ,% долл         ,% долл         ,% долл          ,% долл         ,% долл          ,% долл             ,% долл         ,% долл        ,% долл         ,% долл         ,% долл        ,% долл                            ,% долл          ,% долл          ,% долл         ,% долл             ,% долл        ,% долл           ,% долл         ,% долл         ,% долл        ,% долл        ,% долл            ,% долл         ,% долл         ,% долл         ,% долл       ,% долл               ,% долл          ,% долл         ,% долл         ,% долл         ,% долл         ,% долл         ,% долл         ,% долл                  ,% долл         ,% долл        ,% долл         ,% долл         ,% долл         ,% долл         ,% долл          ,% долл        ,% долл         ,% долл         ,% долл         ,% долл         ,% долл         ,% долл
